"Competitive Bid Service Area ID","Competitive Bid Service Area Name","Company Name","DBA Name","Address","Address 2","City","State","Zip","Zip Plus 4","Phone","Toll-Free Telephone","Product Category Name","Competitive Bid?"
"","","PATIENT-AIDS INC.                                                     ","PATIENT AIDS INC","100 CROSSING DR                                        ","                                                       ","WILDER                        ","KY","41076","    ","(859)441-8876","","Automatic External Defibrillators (AEDS)","N"
"","","PATIENT-AIDS INC.                                                     ","PATIENT-AIDS -LEXINGTON","3158 MAPLELEAF DR                                      ","                                                       ","LEXINGTON                     ","KY","40509","    ","(859)388-9002","","Automatic External Defibrillators (AEDS)","N"
"","","PATIENT-AIDS INC.                                                     ","PATIENT AIDS INC","1488 OLD LEBANON RD                                    ","STE C                                                  ","CAMPBELLSVILLE                ","KY","42718","    ","(270)299-2067","","Automatic External Defibrillators (AEDS)","N"
"","","PATIENT-AIDS INC.                                                     ","PATIENT AIDS INC","4901 CENTURY PLAZA RD                                  ","                                                       ","INDIANAPOLIS                  ","IN","46254","    ","(317)841-0202","","Automatic External Defibrillators (AEDS)","N"
"","","PATIENT-AIDS INC.                                                     ","PATIENTS AIDS INC","5637 CREEK RD                                          ","                                                       ","BLUE ASH                      ","OH","45242","    ","(513)984-8876","","Automatic External Defibrillators (AEDS)","N"
"","","P & R HOME IV SERVICE INC                                             ","P & R MEDICAL CONNECTION","16937 DEFIANCE TRL                                     ","                                                       ","VAN WERT                      ","OH","45891","    ","(800)587-7670","","Automatic External Defibrillators (AEDS)","N"
"","","T. D. MEDICAL, INC.                                                   ","T. D. MEDICAL, INC.","3200 N 29TH AVE                                        ","                                                       ","HOLLYWOOD                     ","FL","33020","    ","(954)921-9099","","Automatic External Defibrillators (AEDS)","N"
"","","CENTRAL OXYGEN, INC.                                                  ","CENTRAL OXYGEN INC","4501 W WILLIAMSBURG BLVD                               ","                                                       ","MUNCIE                        ","IN","47304","    ","(765)284-6404","","Automatic External Defibrillators (AEDS)","N"
"","","BLACKBURNS PHYSICIANS PHARMACY INC                                    ","BLACKBURNS PHYSICIANS PHARMACY INC","301 CORBET ST                                          ","                                                       ","TARENTUM                      ","PA","15084","    ","(724)224-9100","","Automatic External Defibrillators (AEDS)","N"
"","","BOARDMAN MEDICAL SUPPLY CO                                            ","BOARDMAN MEDICAL SUPPLY COMPANY","404 BOARDMAN CANFIELD RD                               ","                                                       ","YOUNGSTOWN                    ","OH","44512","    ","(330)758-0595","","Automatic External Defibrillators (AEDS)","N"
"","","BOARDMAN MEDICAL SUPPLY CO                                            ","BOARDMAN MEDICAL SUPPLY COMPANY","300 N STATE ST                                         ","                                                       ","GIRARD                        ","OH","44420","    ","(330)545-6700","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #332","3001 TRAVIS BLVD                                       ","                                                       ","FAIRFIELD                     ","CA","94534","    ","(707)429-8310","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #236","2325 MYERS ST                                          ","                                                       ","OROVILLE                      ","CA","95966","    ","(530)533-6876","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #310","2900 GEER RD                                           ","                                                       ","TURLOCK                       ","CA","95382","    ","(209)667-4919","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #420","8391 FOLSOM BLVD                                       ","                                                       ","SACRAMENTO                    ","CA","95826","    ","(916)383-4541","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #103","1441 MAYBERRY DR                                       ","                                                       ","RENO                          ","NV","89509","    ","(775)786-3655","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #333","3632 LONE TREE WAY                                     ","                                                       ","ANTIOCH                       ","CA","94509","    ","(925)754-5288","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #311","1280 LATHROP ROAD                                      ","                                                       ","MANTECA                       ","CA","95336","    ","(209)825-0494","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #213","692 FREEMAN LN                                         ","                                                       ","GRASS VALLEY                  ","CA","95949","    ","(530)272-2496","","Automatic External Defibrillators (AEDS)","N"
